SLID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,main_spatial_layer,spatial_layer,Cell_type_composition,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
SL025,human,gastric,gastric,Gastric cancer,Gastric cancer,gastric cancer (GC),Cell co-localization,LAMA‑CD44 crosstalk between tumor cells and B cells,"Tumor epithelial cells, B cells",39215354,Re-analysis of single cell and spatial transcriptomics data reveals B cell landscape in gastric cancer microenvironment and its potential crosstalk with tumor cells for clinical prognosis,Journal of Translational Medicine,2024,Spatial transcriptomics (ST),10×Genomics,Clinical phenotype,Drug Response,no response to immunotherapy,clinical samples,clinical data analysis,analysis,clinical data,"In order to further select reliable L/R pairs between tumor cells and B cells, we evaluated their expression levels in tissue slices using ST data analysis. Based on the expression and biological localization analysis of L/R pairs, we identified four pairs of L/R pairs (LAMA3/CD44, MDK/SDC1 (Fig.5F), CCL28/CCR10, and GDF/TGFBR2 (sFig.7A,B)) with high reliability between tumor cells and B cells and these L/Rs were also observed in tumor epithelial cells and B cells (Fig. 5G, H).
As results shown in Fig. 6G, high LAMA/CD44 score suggested higher levels of immune infiltrating cells and immune modulators, indicated that high LAMA/CD44 was a relatively immunosuppressive microenvironment.
Subsequently, in GSE7961 (P=0.067), GSE19860 (P=0.013), Check Mate cohorts (P=0.072), Nathanso cohorts (P=0.038), and IMvigor210 cohorts (P=0.016), compared to immunotherapy non-responders (NR), immunotherapy responders (R) had lower LAMA/CD44 scores (Fig.6H-M) "
SL026,human,gastric,gastric,Gastric cancer,Gastric cancer,gastric cancer (GC),Cellular neighbourhoods,The co-localization and crosstalk between GC cells and B cells,"IgA plasma cells, tumor epithelial cells",39215354,Re-analysis of single cell and spatial transcriptomics data reveals B cell landscape in gastric cancer microenvironment and its potential crosstalk with tumor cells for clinical prognosis,Journal of Translational Medicine,2024,Spatial transcriptomics (ST),10×Genomics,Clinical phenotype,Drug Response,immunotherapy,clinical samples,multiple immunofluorescence (mIF),unknow,protein,"The co-localization and crosstalk between GC cells and B cells significantly affect the efficacy of immunotherapy, and inhibiting the CCL28-CCR10 signal axis is a potential immunotherapy target for GC.
Therefore, we analyzed the cellular relationship between B cells and tumor cells in the GC microenvironment, and the results showed that CCL28 is mainly expressed by tumor cells, while CCR10 is mainly expressed in plasma cells as shown in Fig.2H, which might be one of the mechanisms underlying the abundance of IgA PCs in the GC microenvironment.
multiple immunofluorescence (mIF) also validated the CCL28-CCR10 axis difference between immune therapy responder (R) and non-responder (NR) (Fig.2I, sFig.2E).
Trough patient samples underwent immunotherapy, it was found that CCL28 mainly originated from tumor epithelial cells, while CCR10 and CD138 were co-located. At the same time, patients with high expression of CCL28 had more CD138+cells and a shorter survival time, while patients with low expression of CCL28 had a longer survival time. "
SL027,human,gastric，peritoneal,gastric，peritoneal,Gastric cancer,Gastric cancer,gastric cancer,Tissue structure,Immature Tertiary Lymphoid Structures (iTLS),"Macrophages, regulatory T cells (Tregs), CD4+ T naive cells",38955417,Mapping the complexity and diversity of tertiary lymphoid structures in primary and peritoneal metastatic gastric cancer,Journal for ImmunoTherapy of Cancer,2024,Spatial transcriptomics,GeoMx,Biological phenotype,Others,Antitumor effector,clinical samples,Immunohistochemistry,Akoya Biosciences,Protein,"TLSs in PM are immature and have immunosuppressive features.
These chemokines were not synonymously expressed. One cluster of mainly LA-expressed CCL2, CCL18, CCL19, and CCL21. A mixed cluster of mTLS and iTLS expressed CXCL13, CCL4, CCL5, CXCL10, and CXCL9, suggesting that these chemokines associate with distinct TLS states. Interestingly, these chemokines were exclusively expressed within CD45+ ROIs, and CCL19, CCL21 and CXCL13 even solely by TLS (online supplemental figure S2D).
Therefore, we analyzed the transcriptional programs in cancer cells (CK+ AOI; figure 2A) in tumors with mTLS and iTLS from both cohorts (figure 4G) and identified that cancer cells in tumors with mTLS have specifically enhanced expression of apoptosisrelated pathways. "
SL028,human,gastric，peritoneal,gastric，peritoneal,Gastric cancer,Gastric cancer,gastric cancer,Tissue structure,Mature Tertiary Lymphoid Structures (mTLS),"B memory cells, plasma cells, CD8+ T memory cells",38955417,Mapping the complexity and diversity of tertiary lymphoid structures in primary and peritoneal metastatic gastric cancer,Journal for ImmunoTherapy of Cancer,2024,Spatial transcriptomics,GeoMx,Biological phenotype,Immune Suppression,Immunosuppression,clinical samples,Immunohistochemistry,Akoya Biosciences,Protein,"This was associated with higher levels of tumor-infiltrating macrophages and Tregs and less plasma cells compared with tumors with mature TLS. Furthermore, mature TLSs were characterized by overexpression of antitumor immune pathways such as B cell-related pathways, MHC class II antigen presentation while immature TLS were associated with protumor pathways, including T cell exhaustion and enhancement of DNA repair pathways in the corresponding cancer.
These chemokines were not synonymously expressed. One cluster of mainly LA-expressed CCL2, CCL18, CCL19, and CCL21. A mixed cluster of mTLS and iTLS expressed CXCL13, CCL4, CCL5, CXCL10, and CXCL9, suggesting that these chemokines associate with distinct TLS states. Interestingly, these chemokines were exclusively expressed within CD45+ ROIs, and CCL19, CCL21 and CXCL13 even solely by TLS (online supplemental figure S2D).
Thereby we identified that tumors with mTLS were enriched with tumor-infiltrating plasma cells and CD8+ T memory cells (figure 3D).
Therefore, we analyzed the transcriptional programs in cancer cells (CK+ AOI; figure 2A) in tumors with mTLS and iTLS from both cohorts (figure 4G) and identified that cancer cells in tumors with mTLS have specifically enhanced expression of apoptosisrelated pathways. "
SL029,human,brain,hypothalamus,Esophageal cancer,Adamantinomatous craniopharyngioma,adamantinomatous craniopharyngioma (ACP),Cell co-localization,Colocalization of TAM_GPNMB and RHCG+ terminally differentiated epithelial cells,"GPNMB+ Tumor-associated macrophages (TAMs), RHCG+ epithelial cells",38906852,Multiomics integration-based immunological characterizations of adamantinomatous craniopharyngioma in relation to keratinization,Cell Death and Disease,2024,spatial transcriptomics,the Illumina NovaSeq6000 platform,Biological phenotype,Tumor Growth,Tumor growth,clinical samples,asmFISH,"Servicebio Company (Wuhan, China)",protein,"Using spatial transcriptomic data, we observed one kind of non-microglial derived TAM that highly expressed GPNMB close to the terminally differentiated epithelial cell characterized by RHCG, and this colocalization was verified by asmFISH. We also found the positive correlation of infiltration between these two cell types in datasets with larger cohort. According to intercellular communication analysis, we report a regulatory network that could facilitate the keratinization of RHCG+ epithelial cells, eventually causing tumour progression.
Considering the functional crosstalk between the TAM_GPNMB and the E_C4 cluster, we compared the signature scores of TAM_GPNMB/E_C4. The results underscored the colocalization of TAM_GPNMB and E_C4 in the same spatial spot (Fig. 5O, P and S8A). Moreover, there was a most significant positive correlation between the signature score of these two clusters (Fig. 5Q, R and S8B–F).
By asmFISH, we confirmed the close spatial relationship between these two types of subclusters near keratins
in ACP (Fig. 6A). As the spatial distribution demonstrated a high correlation between TAM_GPNMB and the E_C4 cluster, we calculated the Spearman correlations for the proportion of cell infiltrations evaluated by CIBERSORTX in a larger cohort from the Gene Expression Omnibus (2 datasets with 39 ACP samples). "
SL030,human,kidney,kidney epithelium,Others,Kidney injury,kidney injury,Spatial niche,cellular niches in areas of injury,adaptive epithelial (aEpi) cell types proximal tubule (PT) and thick ascending limb (TAL) subclasses,37468583,An atlas of healthy and injured cell states and niches in the human kidney,Nature,2023,Spatial Transcriptome,10x Genomics,Biological phenotype,Others,Tissue repair,clinical samples,3D multiplexed immunofluorescence imaging and label-free cytometry (3DTC),Leica,protein,"Stages and niches of epithelial repair
providing both validation and spatial co-localization of these cell types and states into niches of ongoing injury and repair."
SL031,human,kidney,kidney epithelium,Others,Kidney injury,kidney injury,Tissue structure,fibrotic regions,lymphoid (T cell) and myeloid (MAC-M2/MDC) cell types,37468583,An atlas of healthy and injured cell states and niches in the human kidney,Nature,2023,Spatial Transcriptome,10x Genomics,Biological phenotype,Immune Infiltration,inflammation,clinical samples,Slide-seq,Illumina NovaSeq 6000,RNA,These potentially fibrotic regions also showed diverse inflammation for both lymphoid (T cell) and myeloid (MAC-M2/MDC) cell types that co-localized around vessels
SL032,human,liver,liver,Hepatocellular carcinoma,Hepatocellular carcinoma,HCC,Spatial niche,Macrophage-coated tumor cluster (MCTC),"macrophages, tumor cells",38614095,Macrophage-coated tumor cluster aggravateshepatoma invasion and immunotherapy resistance via generating local immune deprivation,cell Reports Medicine,2024,"multispectral
immunofluorescence (mIF)",unknow,Clinical phenotype,Overall Survival,diminished recurrence-free survival and overall survival,clinical samples,mIF,unknow,protein,"Upon assessing MCTC structures in 253 HCC samples from two distinct TJMUCH cohorts, nearly one-third were classified as MCTC+ (51/133 in TJMUCH cohort I and 46/120 in TJMUCH cohort II). These patients exhibited markedly reduced RFS and OS in comparison to their MCTC counterparts (p < 0.05, Figure 1C). MCTCs were significantly linked to adverse RFS and OS via Cox univariate analysis and were further validated as an independent prognostic factor in multivariate models (p < 0.05, Table S2).
The distant metastasis rate of MCTC+ patients was significantly higher than those of MCTC- patients (Table S3). It is worth noting that the prognosis of MCTC+ patients was worse than MCTC- patients for both early- and advanced-stage HCC(Figure S2A)."
SL033,human,liver,liver,Hepatocellular carcinoma,Hepatocellular carcinoma,HCC,Spatial niche,Macrophage-coated tumor cluster (MCTC),"macrophages, tumor cells",38614095,Macrophage-coated tumor cluster aggravateshepatoma invasion and immunotherapy resistance via generating local immune deprivation,cell Reports Medicine,2024,"multispectral
immunofluorescence (mIF)",unknow,Clinical phenotype,Drug Response,poor response to ICI therapy,clinical samples,mIF,unknow,protein,"Through a comprehensive immunomodu latory gene signature analysis18 conducted on 64 HCC samples from TJMUCH cohort III, it was revealed that MCTC+ HCC samples had significantly lower immunomodulatory signature scores compared to MCTC- samples (Figure 2A). This suggested a potential poor response to ICI therapy in MCTC+ HCC.
Clinical data from 28 patients with HCC undergoing ICI therapy (TJMUCH cohort IV) showed a marked difference in the objective response rate between MCTC+ and MCTC- groups(28.57% vs. 76.19%, respectively) (Figure 2B), indicating ICI resistance in MCTC+ HCC."
SL034,human,liver,liver,Hepatocellular carcinoma,Hepatocellular carcinoma,HCC,Spatial niche,Macrophage-coated tumor cluster (MCTC),"macrophages, tumor cells",38614095,Macrophage-coated tumor cluster aggravateshepatoma invasion and immunotherapy resistance via generating local immune deprivation,cell Reports Medicine,2024,scRNA-seq,10x Genomics,Biological phenotype,Immune Suppression,immunosuppressive and pro-tumorigenic phenotype,clinical samples,mIF,unknow,protein,"These macrophages are implicated in oncogenesis through their roles in facilitating immune evasion, providing nutrients, and meeting the metabolic needs of cancer cells. Comparative analysis revealed a significant  upregulation of these TAM subsets in macrophages of MCTC+ HCC tissues pointing to their heightened pro-tumorigenic potential (Figure 4E).
These results suggested that macrophages in MCTC+ HCC exhibited a distinct immunosuppressive and pro-tumorigenic phenotype.
Additionally, our analysis extended to Tregs (marked by Foxp3) and T cells with an exhausted phenotype (marked by CD39) within TJMUCH cohort IV tissues, which play a significant role in modulating immune responses within the TME. The results demonstrated that these cells were markedly elevated in MCTC+ tissues and exhibited a positive correlation with the proportion of Trem2+ macrophages (Figures S4C–S4F).
The results implied that Trem2+ macrophages in MCTC+ tissues might trigger the immunosuppressive microenvironment and diminish the anti-tumor efficacy of cytotoxic T cells by inducing Treg amplification and T cell exhaustion."
SL035,human,liver,liver,Hepatocellular carcinoma,Hepatocellular carcinoma,hepatocellular carcinoma,Spatial niche,onco-fetal niche,"POSTN+ CAFs, FOLR2+ TAMs, PLVAP+ Ecs",38168935,Presence of onco-fetal neighborhoods in hepatocellular carcinoma is associated with relapse and response to immunotherapy,nature cancer,2023,Stereo-seq,MGI DNBSEQ-Tx sequencer,Biological phenotype,Tumor Recurrence,Relapse,clinical samples,RNAscope,"Advanced Cell 
Diagnostics",RNA,"In summary, our data suggest a model whereby onco-fetal cell types co-localize, forming a niche supporting their crosstalk and facilitating tumor cell escape from anti-tumor immunity, suggesting the importance of onco-fetal reprogramming in shaping HCC relapse."
SL036,human,liver,liver,Hepatocellular carcinoma,Hepatocellular carcinoma,Hepatocellular carcinoma (HCC),Tissue structure,a tumor immune barrier structure,"POSTN+ CAFs, CD8+ T cells",39067872,POSTN+ cancer-associated fibroblasts determine the efficacy of immunotherapy in hepatocellular carcinoma,Journal for Immuno Therapy of Cancer,2024,spatial transcriptomic,10x Genomics,Clinical phenotype,Drug Response,no response to ICB therapy,clinical samples,Multiplex immunohistochemistry (mIHC),unknow,protein,"To validate this finding, we assessed the correlation between the infiltration of POSTN+ CAFs and T-cell exclusion in three inde pendent cohorts downloaded from the Tumor Immune Dysfunction and Exclusion Database (http://tide.dfci. harvard.edu/) (figure 4B–D). Our findings revealed a significant positive correlation between the infiltration of POSTN+ CAFs and T cell exclusion.
Interestingly, our observations revealed that POSTN+ CAFs were responsible for excluding T cells from the malignant area within HCC tumor tissue sections(figure 4E)
Similar to the findings reported by Liu et al, POSTN+ CAFs formed a tumor immune barrier structure that excluded T cells in non-responders to ICB therapy but not in responders (figure 4F).
Furthermore, we performed mIHC staining to validate our findings. We observed significantly greater levels of POSTN+ CAFs with colocalization of POSTN and α-SMA protein expression in non-responders than in responders. Importantly, the colocalization of POSTN+ α-SMA+ CAFs correlated with the exclusion of CD8+ cells in non-responders (figure 4J), suggesting potential crosstalk between POSTN+ CAFs and CD8+ T cells associated with immunotherapy efficacy."
SL037,human,liver,liver,Hepatocellular carcinoma,Hepatocellular carcinoma,Hepatocellular carcinoma (HCC),Cell co-localization,Colocalization between POSTN+ CAFs and SPP1+ macrophages,"POSTN+ CAFs, SPP1+ macrophages",39067872,POSTN+ cancer-associated fibroblasts determine the efficacy of immunotherapy in hepatocellular carcinoma,Journal for Immuno Therapy of Cancer,2024,single cell RNA,GEO,Biological phenotype,Immune Suppression,immunosuppressive,clinical samples,Multiplex immunohistochemistry (mIHC),unknow,protein,"In addition, the protein encoded by IL-6 bound to the receptors IL-6R, IL6ST, and THBD expressed on SPP1+ macrophages (figure 5G), while SPP1+ macrophages expressed high levels of IL-6R (figure 5H), suggesting that POSTN+ CAFs and SPP1+ macrophages may regulate the formation of an immunosuppressive environment via the IL-6/IL-6R axis.
We observed that HCC patients with high levels of POSTN+ CAFs and SPP1+ macrophages had the shortest OS (figure 6A), indicating synergistic promotion of tumor progression by these two cell types.
We overexpressed POSTN in CAFs and found that the ability of these cells to recruit macrophages was significantly greater than that of control CAFs (figure 6B,C). This recruitment phenomenon was also observed in HCC patient tissues (figure 6D).
Consistent with our previous findings, our mIHC results of HCC patient tissues revealed that IL-6 was mainly localized in POSTN+ CAFs, IL-6R was mainly localized in SPP1+ macrophages and that SPP1+ macrophages were also concentrated in the same region as POSTN+ CAFs (figure 6H). "
SL038,human,liver,liver,Hepatocellular carcinoma,Hepatocellular carcinoma,Hepatocellular carcinoma (HCC),Cell co-localization,Colocalization between POSTN+ CAFs and SPP1+ macrophages,"POSTN+ CAFs, SPP1+ macrophages",39067872,POSTN+ cancer-associated fibroblasts determine the efficacy of immunotherapy in hepatocellular carcinoma,Journal for Immuno Therapy of Cancer,2024,spatial transcriptomic,10x Genomics,Clinical phenotype,Drug Response,immunotherapy resistance,clinical samples,Multiplex immunohistochemistry (mIHC),unknow,protein,"The analysis of survival data from the IMvigor210 dataset revealed that patients treated with anti-PD-L1 therapy who had high infiltration of POSTN+ CAFs or SPP1 macrophages exhibited worse OS than those without these features (figure 7A).
Interestingly, we observed stronger spatial colocalization between POSTN+ CAFs and SPP1+ macrophages in non-responders than in responders (figure 7D).
Similarly, mIHC staining revealed that non responders exhibited greater infiltration of POSTN+ CAFs or SPP1+ macrophages than responders (online supplemental figure S9). Bayespace-enhanced spatial data showed that most POSTN+ CAFs and SPP1+ macrophages were colocalized in the same region, whereas T cells or B cells were excluded from the tumor core (figure 7E) "
SL039,human,liver,liver,Hepatocellular carcinoma,Hepatocellular carcinoma,Hepatocellular carcinoma (HCC),Spatial niche,Immune Infiltration Enrichment (IIE) region with high CCL19 and CCL21,"T cells (CD3+), B cells (CD20+)",35673582,Spatial maps of hepatocellular carcinoma transcriptomes reveal spatial expression patterns in tumor immune microenvironment,Theranostics,2022,flow cytometry,NA,Biological phenotype,Tumor Growth,inhibit the growth of HCC,clinical samples,Immunofluorescence,NA,protein,"Flow cytometric analyses of tumor xenografts revealed a higher proportion of CD3 + cells and CD20 + cells in the oe-AAV group than in the control group (Figure 7G-H), and tissue immunofluorescence results confirmed significantly higher infiltration of CD3 + T cells and CD20 + B cells in the oe-AAV group (Figure 7I).
Taken together, these observations indicate that CCL19 and CCL21 inhibit the growth of HCC by enhancing the infiltration of tumor-infiltrating T cells and B cells. Thus, overexpression of Ccl19/Ccl21a AAV may be used as a novel strategy for immunotherapy of HCC, but further analysis is essential. "
SL040,human,liver,liver,Hepatocellular carcinoma,Hepatocellular carcinoma,Hepatocellular carcinoma (HCC),Spatial niche,F5-CAF niches associated with immune-excluded regions enriched for M2 macrophages,"F5-CAF, M2 macrophages",39138551,Spatial multiomics reveals a subpopulation of fbroblasts associated with cancer stemness in human hepatocellular carcinoma,Genome Medicine,2024,Spatial transcriptomics,10X Genomics,Biological phenotype,Immune Suppression,Immunosuppression,clinical samples,multiplexed immunofuorescence (mIF),"PerkinElmer, 
Waltham, USA",protein,"For 8 HCC patients, F5-CAFs had a higher M2 macrophage score around them both in the tumor and at the interface (Fig. 5C).
we confirmed that more interactions between F5-CAF and M2 macrophages were detected compared with other fibroblasts, included CXCL12: CXCR4; LGALS9: COLEC12/ HAVCR2; ICAM1: aMb2 complex/ aXb2 complex (Additional fle2: Fig. S5E)
In the above mIF HCC samples, many F5-CAFs co-localized with CD14+CD206+ M2 macrophages in the interface (Additional fle2: Fig. S5F), which may be related to the expression trend of PD-L1 that we previously observed (Additional fle2: Fig. S4G).
Taken together, these results suggest that F5-CAFs may be associated with M2 macrophages and the immunosuppressive TME in HCC patients. "
SL041,mouse,liver,liver,Hepatocellular carcinoma,Hepatocellular carcinoma,HCC,Cellular neighbourhoods,zones of three-way interaction," adaptive immune cells, innate immune cells, and cC3+ hepatocytes",38355725,Innate and adaptive immune cell interaction drives inflammasome activation and hepatocyte apoptosis in murine liver injury from immune checkpoint inhibitors,Cell Death & Disease,2024,IMC,NA,Biological phenotype,Drug Response,hepatocyte death in ILICI,clinical samples,mouse models,NA,mouse,"CD8 depletion by itself did not cause any liver injury or elevated liver enzymes (not shown), and confirmed depletion by FACS (Fig. 8B). Interestingly, CD8 depletion significantly protected against liver injury
These findings suggest that CD8 + T-cells are principal effectors of liver injury and cell death in ILICI.
We were able to observe zones of three-way interaction between adaptive immune cells, innate immune cells, and cC3+ hepatocytes, evidence that the interplay of adaptive and innate immunity plays a significant role in hepatocyte death in ILICI."
SL042,Human,Lung,Lung,Lung cancer,Non small cell lung cancer,NSCLC,Cell co-localization,POSTN+CAFs were in close localization with SPP1+ macrophages,"POSTN+CAFs, SPP1+ macrophages",38115703,Single-cell and spatial transcriptomics reveal POSTN+ cancer-associated fibroblasts correlated with immune suppression and tumour progression in non-small cell lung cancer.,Clin Transl Med,2023,Spatial transcriptome,Stereo-seq,Biological phenotype,Immune Suppression,Immunosuppression,clinical samples,mIHC,unknow,protein,Stereo-seq and mIHC demonstrated that POSTN+CAFs were in close localization with SPP1+ macrophages and were associated with the exhausted phenotype and lower infiltration of T cells
SL043,Human,Lung,Lung,Lung cancer,Non small cell lung cancer,NSCLC,Cellular neighbourhoods,Surrounding tumour nests,"POSTN+CAFs, T cells, Cancer cell",38115703,Single-cell and spatial transcriptomics reveal POSTN+ cancer-associated fibroblasts correlated with immune suppression and tumour progression in non-small cell lung cancer.,Clin Transl Med,2023,Spatial transcriptome,Stereo-seq,Biological phenotype,Immune Infiltration,Lower infiltration of T cells,clinical samples,mIHC,unknow,protein,"We found that POSTN+CAFs tended to encircle the tumour nests and infiltrated CD4+T cells and CD8+T cells located mostly in the stromal regions formed by multi-layers of POSTN+CAFs.
For example, in 10 POSTN-high tumour regions selected from a sample, seven of 10 (70%) regions had POSTN+ CAFs surrounding tumour nests, which might impede the infiltration of T cells, while tumour regions without POSTN+ CAFs had higher infiltration of T cells into the tumour bed"
SL044,human,Lung,Lung,Lung cancer,Lung cancer,lung cancer,Spatial niche,Spatial niches of T cells and macrophages in immune-hot adenocarcinomas,"T cells, Macrophages",38581685,Spatial Architecture of Myeloid and T Cells Orchestrates Immune Evasion and Clinical Outcome in Lung Cancer,cancer discovery,2024,imc,unknow,Biological phenotype,Drug Response,favorable immune response,clinical samples,"Wwhole-exome sequencing, RNA-seq data",unknow,RNA,"In immune-hot adenocarcinomas, spatial niches of T cells  and macrophages increased with clonal neoantigen burden, whereas such an increase was observed for niches of plasma and B cells in immune-excluded squamous cell carcinomas (LUSC).
In LUAD, clonal neoantigen burden was associated with community C6:macrophages and T cells (linear mixed-effects model, LME P   0.04), a community enriched in TS:TILMΦ high TMEs and depleted in TS:Immune low TMEs (Fig. 3A–C).
We next sought to establish the spatial immune context associated with HLA LOH and other somatic disruptions to HLA class I APM genes, hereafter referred to as class I/APM disruption (Methods). In LUAD, tumor regions with class I/APM disruption had increased densities of communities C6:macrophages and T cells and C7:macrophage enriched (LME P   0.001, LME P  0.023; Supplementary Fig. S6D)."
SL045,human,Lung,Lung,Lung cancer,Lung cancer,lung cancer,Spatial niche,niches of plasma and B cell,"plasma, B cell",38581685,Spatial Architecture of Myeloid and T Cells Orchestrates Immune Evasion and Clinical Outcome in Lung Cancer,cancer discovery,2024,imc,unknow,Biological phenotype,Drug Response,favorable immune response,clinical samples,"WES, and RNA-seq data",unknow,RNA,"whereas such an increase was observed for niches of plasma and B cells in immune-excluded squamous cell carcinomas (LUSC).
In both LUAD and LUSC, densities of the community C9:B cells and plasma cells and plasma cells, when tested separately, were associated with a high tumor mutational burden (TMB).
In LUSC, the burden of expressed clonal and total neoantigens predicted to bind intact HLA alleles was correlated withC9:B cells and plasma cells (LME P  0.03), a community enriched in T:TILMΦ excluded TMEs and depleted in TS:Neutrophil high TMEs (Fig. 3A, B, and D).
Both B cells and plasma cells were enriched in community C9:B cells and plasma cells, but only stroma-localized plasma cell densities were significantly correlated with clonal and total neoantigen burden in LUSC (Supplementary Figs. S3F and S6A). This spatial analysis reveals that plasma cells and the community in which they reside are associated not only with high TMB but also with the burden of clonal and total neoantigens in early-stage LUSC."
SL046,human,Lung,Lung,Lung cancer,Lung cancer,lung cancer,Tissue structure,Fibroblast barriers in immune-low TMEs,"Fibroblasts, CD8 T cells",38581685,Spatial Architecture of Myeloid and T Cells Orchestrates Immune Evasion and Clinical Outcome in Lung Cancer,cancer discovery,2024,imc,unknow,Biological phenotype,Immune Suppression,Immunosuppression,clinical samples,imc,unknow,protein,"Collectively, these results suggest that peritumoral αSMA+ fibroblasts may represent a feature of early-stage NSCLC TMEs  with overall low levels of immune infiltration and a putative  physical barrier to CD8 T-cell and tumor cell engagement.
Immune-low TMEs were associated with fibroblast barriers to immune infiltration."
SL047,human,Lung,Lung,Lung cancer,Lung cancer,lung cancer,Spatial niche,High tumor-associated neutrophil (TAN) infiltration,"Tumor-associated neutrophils, Sparse lymphocytes",38581685,Spatial Architecture of Myeloid and T Cells Orchestrates Immune Evasion and Clinical Outcome in Lung Cancer,cancer discovery,2024,imc,unknow,Clinical phenotype,Tumor Metastasis,metastasis or relapse,clinical samples,"WES, and RNA-seq data",unknow,RNA,"The fourth archetype, characterized by sparse lymphocytes and high tumor-associated neutrophil (TAN) infiltration, had tumor cells spatially separated from vasculature and exhibited low spatial intratumor heterogeneity.
Tumors with high TAN infiltration had low spatial heterogeneity and a high risk of metastasis or relapse in 
NSCLC independent of stage, necrosis, and other clinical variables."
SL048,human,lung,lung,Lung cancer,Non small cell lung cancer, NSCLC,Spatial niche,Stem-immunity hubs,"TCF7+PD-1+CD8+ T cells, CCR7+LAMP3+ dendritic cells (mreg DCs), CXCL10+ macrophages, CCL19+ fibroblasts",38503922,Human lung cancer harbors spatially organized stem-immunity hubs associated with response to immunotherapy,nature immunology,2024,RNA smFISH/IF,RNAscope HiPlex v2 assay,Clinical phenotype,Drug Response,Responsive to immunotherapy,clinical samples,multiplexed error-robust FISH (MERFISH),"Vizgen, 10000001",protein,"Critically, we discovered the stem-immunity hub, a subtype of immunity hub strongly associated with favorable PD-1-blockade outcome."
SL049,human,lung,lung,Lung cancer,Non small cell lung cancer,non-small cell lung cancer,Cell co-localization,Co-location of CD14+APOE+ cells and MMP7+ tumor cells,"CD14+APOE+ macrophages, MMP7+ tumor cells",39187937,The co-location of CD14+APOE+ cells and MMP7+ tumour cells contributed to worse immunotherapy response in non-small cell lung cancer,clinical and translational medicine,2024,"Bulk RNA-seq, single-cell RNA-seq","RNeasy FFPE Kit (Qiagen); GEO(GSE148071, GSE127465 and GSE131907)",Clinical phenotype,Drug Response,worse therapeutic outcomes,clinical samples,multiplex immunofluorescence,Akoya’s 4-Colour Multiple IHC Kit.,protein,"The connection between MMP7 and CD14 was 0.2, whereas the correlation between MMP7 and APOE was 0.47. This suggests that MMP7 is more closely linked to the APOE+ subset of CD14+ cells (Figure 5A,B).
Our findings align with the transcriptomics study, as we detected the presence of MMP7+ tumour cells and CD14+APOE+ cells in the NSCLC tumour region (Figure 5C). 
Notably, CD14+APOE+ cells were predominantly located in areas with high MMP7+ tumour cells, suggesting a strong colocalisation pattern between MMP7+ tumour cells and CD14+APOE+ cells (Figure 5D).
The expression of MMP7 in tumour cells and APOE in myeloid cells was higher in non-responder (NR) patients compared to responders (R) (Figure 5E).
MMP7 and APOE were both more enriched in NR in patients treated with immunotherapy (Figure 6F,G).
We found that patients with higher levels of MMP7 or APOE had significantly worse therapeutic outcomes (Figure 6H,I). "
SL050,human,lung,lung,Lung cancer,Lung adenocarcinoma,lung adenocarcinoma(LUAD),Cellular neighbourhoods,"tumor-invaded Tumor-draining lymph nodes 
(TDLNs+) (polarized TDLN+ and scattered TDLN+)","CD45 immune cells, including T-cells and B-cells. 
Immunosuppressive DC cells and macrophage M2 cells.
PD-1+ CD8+ T cells",39080406,"Prognostic patterns in invasion lymph nodes of lung adenocarcinoma 
reveal distinct tumor microenvironments",npj Precision Oncology,2024,NanoString nCounter 289 Panel,"NanoString technologies 
nCounter platform",Biological phenotype,Others, Vascular structure was complete or deformed and irregular,clinical samples,IMC,NA,protein," Furthermore, a positive correlation was found between a higher angiogenesis score and the scattered pattern, while a lower immune score was noted for several immune-related parameters, including total TILs, T-cell markers, and T-effector score (Fig. 5B).
Additionally, the vascular structure was complete, with antigen-specific PD-1+ CD8+ T cells visible within the CD31+ vasculature (the polarized pattern). 
furthermore, disorderly arrangement of PDPN+ fibroblasts and CD68+macrophages was observed (especially in the scattered pattern), and vasculature was deformed and irregular (especially in the scattered pattern), which consistent with what NanoString panel observed (Figs. 5B, D and 6A, B)."
